,0,1
ATP6V0B,-23.872407233314963,-7.8969463902169705
ATP6V0C,-23.80990910662796,-7.8588078668943275
ATP6V1C1,-23.89078313010812,-10.613117453414086
ATP6V1D,-23.833670608651037,-7.943542834133395
COG3,-24.594324438197297,-9.164843638108257
COG4,-24.67276385416025,-9.177835242583265
COG6,-24.56943095118997,-9.035474372261413
VPS52,-24.509837589677673,-9.218102766448023
ATP6V1A,-23.936153285843723,-7.917823103214936
COG8,-24.447611296807313,-9.228761707539613
SOCS3,-23.78197547295446,-8.414248779310471
ATP6AP1,-23.86131987998662,-7.949376892103439
ATP6V1E1,-23.796062555093837,-7.899457197747624
COG2,-24.578085454547168,-9.18102351998899
AP2M1,-17.479035285656444,-17.027972424869926
TGFBR1,-21.37911243578517,-8.459688708286238
ATP6V1F,-23.8118270800193,-8.016572378107051
UNC50,-24.51082969622251,-9.172141783168545
ATP6V1G1,-22.511190153489874,-7.422637267354338
WDR7,-23.918293977523785,-8.012437081224428
ATP6AP2,-23.857484077174014,-8.001921849836917
RPTOR,-18.758883241890487,-14.234486797947623
ATP6V1H,-22.524298174993703,-7.31790110009095
ELOF1,-21.10105954678919,-8.72181200183214
EMC7,-22.931698542833498,-8.165918952487429
EMC6,-21.598325073481107,-7.569543522786326
MPDU1,-21.03721748527252,-8.113822258514789
EMC3,-21.66223181757529,-8.464841018234877
TRAPPC1,-21.48696042389169,-7.679154218503494
PABPC4L,-21.77495961084382,-8.488160676010946
RPS10,-15.680880486682186,-15.3923873864453
DCAF7,-21.55379993168064,-7.47267990834947
ATP6V0D1,-22.374712579060045,-7.29153681971113
CCDC115,-23.882205824425846,-8.014168993848147
GTF3A,-21.106911502135823,-8.277059493958937
PIGB,-21.082162714708538,-7.272509092411368
DPM1,-22.127821174302436,-7.0781989534813885
EMC2,-20.73149811816899,-7.849587871998949
ALG3,-22.46174020530696,-6.792355953078117
WDR11,-20.862813853981095,-6.457452831105928
AFP,-19.66740255641111,-6.897404743571869
HID1,-19.58991278479762,-6.914913919822832
MSI2,-19.778443720840635,-6.738075587120027
AP3M1,-20.9421411620578,-8.111630223377526
TIPRL,-20.993198593092234,-8.278766044636589
KCTD5,-16.60411782235302,-16.328250228452557
HNF1B,-18.32943889335266,-13.330746971388521
MRPL20,-19.781001806928877,-6.696840459691532
UPF3B,-19.43042324780541,-13.291682702827574
SBDS,-21.99987441555711,-13.744388963192707
MRPL17,-19.386482211976663,-8.4039580137804
CTBP2,-19.5874627813844,-6.929293290266355
TKT,-20.729467512739188,-13.617930142846799
GIT1,-19.61402967246658,-7.29675287229756
STAG2,-21.970594892484115,-7.067604114058229
CFL1,-19.31076646554155,-8.642730068464243
SGMS1,-20.357253212541124,-7.057561614098527
ANP32B,-18.662703083484327,-8.616726248037635
DMXL1,-20.80824762880846,-6.431379567651101
C1QBP,-18.564130638736238,-7.583158667247665
MON2,-19.14945220543493,-7.756612247891155
NDUFS2,-20.652472363719557,-7.804015288002545
MRPL55,-19.633550037982285,-7.259575106034652
RAB5C,-21.738838922070787,-9.774351132793022
NELFA,-19.335897863058225,-8.683040403134653
ZCRB1,-20.85139916640109,-13.54507274298576
ANKFY1,-19.644441996111112,-6.890748258160257
MTIF2,-20.830848284386562,-6.540993982116637
GPAA1,-19.5613666487721,-9.382576818543827
SPATA3,-19.220561640549324,-6.84991341858842
RAB11A,-20.445423467219705,-7.588966959235483
SLC35A1,-22.86647093740782,-6.767598353940689
ASB6,-18.611818147367522,-7.485928224613916
EIF3K,-18.313385762366607,-9.433802055162504
CUL3,-12.552034673636893,-13.79118704423075
PSMB2,-18.627099878425497,-7.50606225527197
TRMT11,-19.994705799334785,-7.028549845468564
DDOST,-16.247280243628314,-14.884130838631052
WDR77,-20.859453296516705,-13.50892266911888
RNF7,-18.683721866707373,-8.640896200206878
RABGEF1,-19.678776827964036,-7.518755137074937
FIBP,-19.582009672654998,-6.913342127400454
REXO2,-19.55254404841439,-6.907335767003249
ALAD,-20.435331851125316,-7.427432398265611
MATR3,-19.4322270640583,-9.995908238997407
A1CF,-19.241935651006475,-7.803552141888576
PIGV,-20.971921233370693,-7.248182940379392
ATP6V0A1,-20.69491084915932,-7.399734125921117
ATG9A,-23.603044989560804,-11.90603973731096
CHIC2,-18.211531321526902,-8.810365928336948
SNRPB2,-20.498827475233714,-7.83003704836796
METTL14,-19.293764860375255,-8.468421225324109
NCAPH2,-19.419592331051692,-7.17584448528987
RNF138,-18.677159282924002,-7.548516700124077
DPH5,-20.274603767407363,-8.23553518419141
MET,-19.388378773913313,-7.029082958617145
AP1S1,-19.401182997645492,-6.935836574263354
EMC4,-20.702914965152647,-7.797690431426784
ROGDI,-19.165127029472405,-6.882028993930565
TSNAXIP1,-19.16683752714341,-6.841117730192774
MMGT1,-20.605741404439893,-7.869830686107
NO_SITE_133,-19.210092407257548,-6.913764773170601
SUPT20H,-20.052833842998417,-12.798544351599325
DYRK1A,-19.304602441823537,-13.49581222758952
VAC14,-19.137182491605838,-6.893108611388023
LRRC59,-20.237891385292716,-7.174507611007647
TRMU,-19.2109965943426,-6.8057323921959
TMEM209,-19.60657504172272,-6.8279219591432225
ATP6V0A4,-19.357075563345987,-6.874024357772351
CACNA2D1,-20.366578003243063,-6.955651382327366
FBXW7,-16.60677993788573,-16.33089372195751
SLIT2,-20.01080017780663,-7.246085483360204
SLC25A26,-19.939386091032247,-6.963381381115257
ZNF670,-19.296185927518,-8.643881219646758
ASB10,-19.198847868705325,-6.937336495838529
ARIH1,-20.990110061126042,-7.419088175107121
GSK3B,-20.493130597397176,-7.827680578635533
MTMR9,-19.64886068730073,-9.348467870881878
ATG13,-19.329062412495414,-7.848685537653038
ANKS1B,-18.67413742548484,-7.443338326495661
CASP9,-19.681793302098157,-9.286817956888267
ODC1,-20.662033804865,-6.884673803261888
PAK2,-19.912827800397007,-7.0683314281453224
CMAS,-22.428632922948722,-6.809659930493015
AP1M1,-19.51503026709714,-9.378312703397022
MARS2,-20.234577198596607,-7.793900461609997
CLCN5,-22.229679725717045,-6.778246489255619
ARGLU1,-20.10227088418205,-7.036208604107032
NCOA7,-19.266893379235913,-7.708833697292128
YTHDF2,-19.162767572652065,-6.914914096840068
PMM2,-20.99804645629723,-7.145739613602757
ELAVL1,-19.245863213316305,-13.53408728496214
RABGGTB,-23.55841387293703,-11.93733351671514
TMPRSS11F,-19.04926256315168,-7.3476217811239986
LRPPRC,-19.378164385995863,-7.3376436230106385
ALG9,-18.873646235585475,-6.9903767520123665
TYW5,-18.796316190170756,-7.426010898597008
MRPS25,-19.97047691674544,-7.483614157450184
HIF1A,-20.00028255668904,-7.243947345690495
CMTR1,-21.96945645920448,-6.945519743606733
DFFB,-21.765167660798248,-6.755379361233137
HNRNPA0,-19.092711207097132,-8.209145785076357
ROR2,-20.361996472960797,-7.005603292095832
MALSU1,-20.390558491548965,-7.286793880694576
WRAP53,-18.51660940250901,-7.534179625312051
SRM,-19.685964490636305,-6.9511906355861255
FNIP1,-18.744152095197663,-7.394676048211836
MTMR6,-22.175902549429193,-6.7906255190120755
CASP3,-21.748266404863625,-6.742880623725769
HNRNPA2B1,-21.800925981212146,-6.742901514060752
F11R,-20.133548898551105,-7.711716606689987
C5AR2,-20.22753984714855,-7.172591097161406
NRF1,-21.722132170654714,-9.811317121385883
SLC35A2,-22.862400287072443,-6.786339685427
ELP2,-22.04847804954364,-12.45401792911527
ARPC5,-18.916414339468886,-7.0077612393123525
PPA2,-20.15412147346859,-7.060714638055199
FLCN,-20.401970727612238,-7.575088788805665
CUL5,-19.225075922666587,-11.92309233584902
INPP5D,-21.48776666216891,-6.728086460963508
OPA1,-21.076351801551496,-7.46482971797687
NUDCD2,-19.0473177660025,-7.021487741125244
NDUFA8,-18.749497350276087,-7.419222976971852
TIPARP,-17.883857436831835,-12.873729425784596
KDM8,-21.841572862886256,-6.846070403605737
NDUFA2,-20.395092800959436,-7.578802634502299
GNE,-18.511944192912136,-7.608180000369146
ATP13A1,-21.181368199702828,-7.134737922554178
DOK1,-20.92807454346747,-6.966463774317612
RPRD1B,-22.35458509562699,-6.9563209258033
TLR1,-18.60421339095858,-7.56809405946694
EMC1,-20.308528668667012,-13.037282226127761
IRF8,-20.98465484142343,-6.817014407381841
DCP2,-21.46077647316853,-6.793788302927443
CDK5,-19.565925808574942,-7.660051942698881
POU4F3,-18.529923638072482,-7.602086422175223
EFHC1,-19.055565847745658,-7.49776765753957
NXT1,-23.5413985247303,-11.9403898418692
DERL1,-20.34311907041645,-7.522331939035795
EEA1,-19.320429315198993,-7.218963848590432
VMA21,-22.23600212613918,-6.76094671888824
ST3GAL4,-22.919296524661824,-6.791078952926779
SPOP,-20.91245823532607,-6.84301764990411
PIGP,-21.392936706837546,-6.866999622604759
PRR14L,-19.69364081814869,-7.524251790224024
ACTR1A,-18.856231834401196,-7.309391135123827
CCT4,-19.14696518581063,-9.144270555578096
CAND1,-19.217848157805772,-13.0855050577399
ABHD10,-18.73306140805958,-7.44706072835492
EPHB6,-19.15720362353676,-6.873166384435279
CPOX,-19.103517653937057,-7.291553124931093
SELPLG,-19.492384948432324,-8.11092723662333
CETN2,-18.471402928889596,-7.688220049398857
TRMT2A,-19.232452359572143,-7.1949543086713135
ABI3BP,-18.98679227465688,-7.211166756117122
RB1CC1,-19.8491347484725,-12.180045963766117
RNASEH1,-19.936926127478102,-7.480441075017017
APCS,-20.978307131461904,-7.234414482155126
TRUB2,-19.39883154905572,-7.3903866288081215
FTSJ1,-21.13133621535968,-6.73814434520441
DLL3,-19.403388158706736,-7.258332239319941
TOR1B,-18.820674315560748,-7.442636236844492
VPS18,-20.055876329310834,-12.767227658751022
THG1L,-20.968178546557784,-12.547304087180835
GLRX3,-19.665744943981238,-9.346615367986196
KAT8,-19.134243423679976,-7.5159465836188195
TTC14,-19.300266765385686,-8.460761775520949
PAPOLA,-18.243729732706615,-13.209060482994314
TMEM204,-19.02093363292397,-6.975437583984399
NUS1,-16.68081650775171,-16.834965019110427
C2CD5,-18.92739767337031,-6.9497316840641155
MRPS7,-19.242449813677748,-8.353590415726615
GALE,-21.77474529533344,-6.7741446866117565
TREH,-20.20088986329721,-7.271786328923168
DDX6,-16.961893207347998,-16.595265720769767
AP3B1,-20.281806009770992,-7.22869952630224
COMMD9,-19.294478649419144,-8.485576521212383
MIPEP,-20.823870008426653,-6.86338234302093
FAM3C,-20.292773906275677,-7.107699948924465
SLC25A27,-18.87073460221921,-7.33765250128191
PTEN,-21.902813681017438,-9.763675233929778
TPCN1,-21.018008732838492,-6.83549412838642
XPO1,-16.716094466059378,-16.585832675160393
PA2G4,-20.221990868985422,-8.228990171196436
PRKDC,-19.359081246115032,-9.908991729718148
EI24,-20.21558014648798,-7.70856976235946
ORC2,-18.957828622768464,-6.812017568063842
UGP2,-22.1414877423647,-6.825877193416374
GNPTG,-19.151022886679716,-7.537737627725391
DPM2,-16.649738411763554,-16.386041790439897
MLST8,-22.164022290926454,-6.876489780380459
YWHAE,-19.39829689165997,-7.188127323228641
WSB2,-19.513103050322478,-9.32380108141286
MPI,-19.323945513404727,-6.806445492420494
CSNK2A1,-21.154355741599744,-7.456368460117418
SNX3,-21.139341655834365,-6.739926948239502
DFFA,-21.449534938891112,-6.778559920931111
APOL6,-19.474065302467363,-7.585916672340737
NANS,-21.763340198515397,-6.69585321847275
TFAM,-19.736080270073685,-7.460892187889849
PRPF4B,-19.244688015431805,-7.497108785067648
HSD17B10,-22.330676872518403,-6.915146464806162
QKI,-19.114337648572594,-7.5388982158624005
TMEM9,-20.680042933326202,-6.707573631058582
VSIG4,-19.686476847370418,-7.524634384504299
APAF1,-19.628356373889783,-9.343216750085046
PTPN6,-21.018255616620635,-6.83107543179346
RPL10,-19.662670471794815,-7.580207416561383
SLC36A1,-18.54880314175732,-7.477937351341529
MTG2,-21.015853439213082,-6.770965249974036
DPH7,-18.306332281318817,-9.12892486566728
DDIT4,-21.381166669277135,-7.3482848428934515
RAB14,-22.256777589263265,-6.680994510593323
DCK,-19.142892974870495,-6.896129878175519
NUMB,-19.16834862395016,-8.13348068754801
NPC1,-19.057212994043006,-7.370485183463382
TAF4,-16.973528060609105,-16.62562403858027
SLC4A7,-21.70585745032926,-9.799294273311803
MTHFD1,-22.69088253086418,-12.580618277324678
LSM1,-19.130217289925408,-8.204487444385101
SNX29,-19.109776397221367,-7.132652125368298
AKT1,-19.298777694871273,-7.263431681212612
TBC1D24,-20.891299982781554,-6.827779295520975
METTL3,-18.927427998579926,-15.325520363370549
RICTOR,-20.00237068932087,-7.233752811443525
POLG2,-21.87480878179391,-6.864340607518733
TAX1BP1,-19.292211392030932,-9.991241951912045
DPH2,-21.417768665427893,-14.297093425911788
ACBD3,-21.768753431954295,-10.022137300833057
NME6,-21.00278721238327,-6.7952401750971525
WDR18,-23.913677560936744,-10.755117265615823
HYOU1,-23.14664631777346,-9.11333384242531
WDR55,-23.687422741945163,-10.399306054111419
GTF3C5,-23.905920067653273,-10.787433551915635
RNASEK,-23.580031428015015,-10.408637932943337
SRF,-23.80469049401461,-10.372937638589805
NLE1,-23.689747539967055,-10.35098364816055
DDX55,-23.67138054296482,-10.417878475453252
EIF5A,-23.788045056892837,-10.850846762953992
SPATA5L1,-23.679253833626063,-10.475436231431123
GTF3C4,-23.904554531554734,-10.633667113271473
SPATA5,-23.817437176447942,-10.88211108075827
TAF1B,-23.695197179496787,-13.080820984586818
CINP,-23.753019975437493,-10.870216946984709
NIP7,-23.507039933945897,-10.704320885012727
TELO2,-23.076214760652057,-14.354651852245265
MYBBP1A,-22.093815769206344,-11.747391011846265
MRPS33,-22.687464597346132,-10.288919476743038
NOL9,-22.524601244231658,-10.786874266360087
EIF6,-23.597296247876876,-13.133608619828085
TAF1C,-23.629020153844646,-13.115362763119787
ACTR2,-23.01012014932928,-12.693635058257588
TSEN2,-23.16349987795457,-12.80658429113138
RPP14,-23.365934932101727,-12.415908543819878
ARFGEF2,-22.568327247637864,-10.28261631033224
ARPC2,-23.113870260115597,-12.423846843758609
CDIPT,-23.53782264451808,-12.959235669234385
UTP15,-21.797840483795227,-11.854821517013544
TTI1,-22.167357977895566,-14.19834851934136
FNTA,-18.80651256338676,-13.296802011369424
CMPK1,-22.159072663159158,-14.386544054154228
LSG1,-22.007358157558464,-11.842626724657148
PWP1,-22.403043757303582,-10.820386887332397
FTSJ3,-22.344822864852407,-10.11497112431725
TTC1,-22.394301591653605,-10.819114591028653
NOP16,-22.159510601759518,-11.634921503052203
FNDC3B,-20.82379103963918,-12.704533125151823
WDR46,-22.51565211163046,-10.893190611154102
RPP30,-23.38388594333744,-12.59720469139492
POLR1E,-21.90017470963087,-11.963224842464827
GNL3,-22.991918710593698,-11.528981966773397
DDX52,-22.007114845676345,-11.86031463361709
TBK1,-22.35831723744184,-10.827131066446851
POP1,-23.13441887586732,-12.674286199940628
PELP1,-23.117980682390748,-12.650493435473694
MYH9,-22.293430658088923,-11.190386986275708
CAP1,-22.482699711084198,-10.78262096846817
LAS1L,-22.26451786834093,-11.24420807531003
UVRAG,-20.889859106461646,-12.525237190361223
PI4KB,-23.61740349220681,-11.877418252880757
RPP21,-23.683402078230174,-13.130354193939098
GTF3C1,-22.273603713191395,-11.868085313972665
TOMM40,-23.025443085350314,-14.802255060371074
PDPK1,-20.626159951629816,-12.26565445408122
ZBTB8OS,-23.335118086314942,-12.731883224070632
POLR3K,-23.51625337123539,-13.172482723132445
RPP38,-22.27092436504506,-12.136018871802417
NUBP1,-23.17515246979772,-12.78456679228174
DHX33,-23.151461863887075,-12.50001780240924
CEBPZ,-22.209096583348064,-11.725079860379013
INCA1,-22.356833416295398,-11.004178988944021
NOP14,-22.326793787340453,-11.605458357989718
EXD3,-21.29405065339993,-10.559796212155192
MAK16,-22.121547454749948,-11.900619637101254
RIC8A,-23.19472160182968,-11.37264596392593
ELP5,-23.511667534296905,-12.974906850566912
NHP2,-22.05152161689835,-13.266768933140177
PRDM10,-22.044332020854796,-10.68895115113582
DHPS,-23.634594160467305,-12.998385787068926
NUFIP1,-22.273417713059477,-11.227759018989612
TMA16,-22.484277105821462,-10.850080292865918
NUDCD3,-22.100925817864788,-13.151678441928777
PTP4A1,-22.2267097422066,-10.805858706614679
ZPR1,-23.550948159752842,-12.97112543473974
PYROXD1,-23.38282550579449,-12.759800817749317
GRB2,-17.621905927193247,-15.757129303776216
DNM2,-21.43130053332456,-12.553764732188807
NOL11,-22.54611131585019,-10.821856421420609
POP5,-22.26482617046919,-11.885885025275247
AATF,-21.919960542705777,-11.98496468356289
NOP10,-22.980192541846645,-12.45588956275038
NO_SITE_524,-21.58128126800146,-10.718528576705607
SHQ1,-23.209014195675813,-11.302355991945213
URB1,-21.92361170899699,-11.85429560647169
IMP4,-22.166012928647568,-12.459644579252563
DNMT1,-22.973285707253257,-11.59726824050735
ALG14,-22.177733651819892,-10.387854123295824
NAT10,-22.244268143731304,-11.538556567656661
CNIH1,-21.230344128678816,-11.469334165367084
IPPK,-23.191075143126497,-11.147203832628875
CDS2,-22.94869676669993,-11.5448134556678
RCL1,-23.28893117356978,-11.970752163996165
TGFBR2,-21.967169538746877,-10.504414223971684
TAF6L,-23.045493999542117,-14.603764804783754
NOL10,-18.313513603660223,-16.214935223923753
WDR3,-21.757078684047535,-11.002403927317411
LTV1,-22.07185470975205,-10.630188226234702
XRCC5,-22.127933128920567,-10.245525870786357
RPF2,-21.808064069684878,-10.569012368165293
PAGR1,-21.63410909418288,-10.331674561933642
ARPC4,-23.59997659964792,-13.11250631593573
RHEB,-21.628239308877802,-10.336559316371083
PARP9,-22.025922840410658,-10.53002055812853
RIOK1,-20.827589115582484,-12.64562407521125
ISG20L2,-21.311039804749633,-10.511034465238271
DHX36,-17.39884736275615,-16.084980459170097
SPSB2,-22.1770281364685,-10.391324592870333
ASH2L,-17.470593420605816,-15.70785735672964
KRR1,-22.431978896808367,-12.479557861852365
POP7,-23.12149321098963,-12.672313002806915
UTP6,-20.90209117589924,-12.528799105711473
CCDC105,-22.089708414171096,-10.64125770523319
DNAAF3,-22.119409970306698,-11.084645933996503
GAD2,-22.08133010229849,-10.541743699472732
VPS13D,-22.00428135246365,-12.176405393767267
GMPS,-23.22477950164239,-11.199123675695951
DHODH,-21.949617591426538,-10.867439380371488
SETD1A,-21.345402297680728,-10.578184293814779
RRP9,-22.27966231092096,-11.896117293557754
RNF40,-22.23402899845306,-10.901532949198405
GART,-18.24487774472271,-16.235689972893212
EIF3I,-17.37501451970694,-15.686054326618732
PRMT5,-22.04359191022854,-13.220302615792848
PCBP2,-23.705939280950858,-12.85593842905305
RPL19,-21.86720690034197,-11.824207589388307
MED23,-17.826689557210102,-11.393044520591063
PRAM1,-22.28473532888894,-10.85012388681857
DDX51,-22.255383315073733,-10.896855491186315
STT3A,-23.155929164448843,-14.818702057268428
UTP20,-21.588440053499628,-12.336223089279652
ATG101,-21.92644877551236,-10.587993003264039
TBL3,-22.363891418273266,-12.192383444761182
ACBD7,-21.576929060931587,-10.695556501525216
NAF1,-22.801388626324496,-12.175281909305893
SETD3,-23.207550437787443,-11.364415442915028
ATXN10,-23.133142706169085,-15.093642250163326
CIAO1,-23.51567258344015,-13.088594497882525
EXOSC10,-21.939338742163738,-12.243482972592155
ENO1,-22.10211382645808,-13.111828862313248
TWISTNB,-22.099513540461295,-11.002108993218679
HSPA8,-19.490641664520204,-16.1044123481959
DDX49,-21.932918408903653,-10.824879029668518
SAMM50,-23.45997932820695,-13.013252447788073
UBA52,-22.797227049451553,-11.734385500178014
SNX14,-23.24128362416284,-11.293294688652278
PDCL,-23.08113076310239,-12.586351096601687
PRKCQ,-22.20213719993195,-10.854122553799131
PLCB3,-23.208303366282934,-11.288998191722142
VARS,-22.699868234946887,-12.141633083177018
ICAM1,-23.22585310272428,-11.236820881045908
EIF4E,-17.21220566024244,-16.887861399759842
BRDT,-22.048379102308967,-10.647083560056235
RBM19,-22.19642510282141,-11.159717010463371
VANGL1,-22.22441591424246,-10.857974155261605
THOC6,-20.882916016554418,-12.542326413287167
CSDE1,-23.05650947281627,-11.414817993431157
RGR,-22.16120959334988,-11.12337605870109
OSTC,-21.94304734364976,-10.511840499854875
UTP23,-22.028440055006513,-11.01696128796532
WDR5,-21.411394511969,-12.419230651362946
WDR24,-22.697182943198264,-12.051703302059492
TSR2,-21.578515519264123,-12.348883419388008
PES1,-22.00536554601625,-11.85157306349578
SNX13,-22.721131198231234,-11.192924555629318
CEBPB,-21.9265961552817,-10.460313029417936
ELP3,-22.5235296761824,-12.407427067108591
UBE2D3,-23.170975873606142,-11.239280112291098
NAA20,-20.88288210389574,-12.51354297670317
LHFPL2,-22.106709725766596,-11.048159377263975
SLC39A12,-22.062382903800003,-10.391819184322392
NIFK,-22.3002271061926,-11.53271118435283
NOC4L,-22.86374166031939,-12.400261787025022
MED24,-21.939354323380297,-10.803671173593145
ELP6,-22.109471203555206,-12.298944998039174
RTCB,-23.397789154612237,-12.880455589885914
TRMT5,-23.44893823416364,-12.85803769191104
NAA25,-23.29314790958892,-11.938922117033577
DDX54,-23.161396127184496,-12.803522524710438
DPH3,-23.378824309234126,-12.98047195329036
YEATS4,-22.55443859764117,-12.133015924016634
AAR2,-22.183890857233916,-10.871356105290044
RIOK2,-23.13693970465105,-11.267658070763435
ZNHIT3,-22.317950151762314,-12.271450923405869
